=== JUNGLE.EXE segment 1 — 50 imported call sites
  seg2:8586  GDI.380          ENDPAGE
  seg2:8595  GDI.378          ENDDOC
  seg2:85a0  GDI.382          ABORTDOC
  seg2:85d6  JUNGS01.2        S_001
  seg2:8609  JUNGS01.62       S_061
  seg2:861a  JUNGR01.8        RESGETTYPE
  seg2:8632  JUNGS01.62       S_061
  seg2:8638  GDI.68           DELETEDC
  seg2:88a4  JUNGA01.27       A_027
  seg2:8973  JUNGA01.29       A_029
  seg2:89f6  JUNGS01.5        S_004
  seg2:8af5  JUNGS01.57       S_056
  seg2:8b73  JUNGS01.66       S_065
  seg2:8bf2  JUNGU01.6        _DEBUGSTR
  seg2:8c29  USER.110         POSTMESSAGE
  seg2:8c8b  JUNGA01.8        A_008
  seg2:8c9f  USER.110         POSTMESSAGE
  seg2:8d1a  JUNGS01.61       S_060
  seg2:8e55  JUNGS01.24       S_023
  seg2:9042  JUNGS01.55       S_054
  seg2:9379  USER.106         GETKEYSTATE
  seg2:9437  JUNGS01.67       S_066
  seg2:951f  JUNGS01.52       S_051
  seg2:95ef  JUNGA01.28       A_028
  seg2:9911  JUNGA01.32       A_032
  seg2:994a  KERNEL.134       GETWINDOWSDIRECTORY
  seg2:9960  JUNGU01.12       MAKEFULLPATH
  seg2:99a5  JUNGR01.8        RESGETTYPE
  seg2:9b11  JUNGS01.39       S_038
  seg2:9b83  KERNEL.353       LSTRCPYN
  seg2:9ba0  JUNGU01.8        WINMALLOC
  seg2:9c75  USER.421         WVSPRINTF
  seg2:9c8a  KERNEL.353       LSTRCPYN
  seg2:9c95  JUNGU01.11       WINFREE
  seg2:9cc0  JUNGA01.17       A_017
  seg2:9cd6  JUNGA01.31       A_031
  seg2:9cf4  JUNGA01.18       A_018
  seg2:9d0a  JUNGA01.33       A_033
  seg2:9d28  JUNGA01.21       A_021
  seg2:9d3e  JUNGA01.36       A_036
  seg2:9e90  JUNGA01.38       A_038
  seg2:9f0d  USER.471         LSTRCMPI
  seg2:9f1f  USER.430         LSTRCMP
  seg2:a17e  JUNGS01.64       S_063
  seg2:a2e8  JUNGS01.54       S_053
  seg2:a307  JUNGS01.28       S_027
  seg2:a392  JUNGS01.26       S_025
  seg2:a3a0  JUNGS01.11       S_010
  seg2:a3ff  JUNGS01.40       S_039
  seg2:a41a  JUNGA01.37       A_037
  seg2:a484  JUNGA01.39       A_039
  seg2:a4a2  JUNGU01.8        WINMALLOC
  seg2:a4c3  MMSYSTEM.1214    MMIOSEEK
  seg2:a4d4  MMSYSTEM.1214    MMIOSEEK
  seg2:a526  MMSYSTEM.1212    MMIOREAD
  seg2:a541  MMSYSTEM.1213    MMIOWRITE
  seg2:a565  JUNGU01.11       WINFREE
  seg2:a73a  KERNEL.88        LSTRCPY
  seg2:a79d  KERNEL.88        LSTRCPY
  seg2:a7ca  USER.420         _wsprintf
